nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée d'Histoire de la Ville de Saint-Malo;Château Esplanade Félicité Lamennais - B.P. 147;35401;SAINT-MALO CEDEX;0299407185;BRETAGNE;ILE ET VILAINE;
Musée de l'Impression sur Etoffes;14, rue Jean-Jacques Henner B.P. 1468;68072;MULHOUSE CEDEX;0389468300;GRAND EST;HAUT-RHIN;
Musée Monseigneur Pigneau de Behaine;Rue du Musée;02550;ORIGNY-EN-THIERACHE;0323913110;HAUTS-DE-France;AISNE;49.89599,4.022348
Musée de Trouville - Villa Montebello;64, Rue du Général Leclerc;14360;TROUVILLE-SUR-MER;0231881626;NORMANDIE;CALVADOS;49.37135,0.083538
Musée Cappon;62, Rue d'Aligre;17230;MARANS;0546011287;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;46.309723,-0.991941
Muséum d'Histoire Naturelle;Hôtel de ville 1, Avenue Maréchal Leclerc;64100;BAYONNE;0559591510;NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;43.4922522445,-1.46647823758
Musée d'Art et d'Histoire;Ancien Palais des Evêque Place de l'Hôtel de ville;11100;NARBONNE;0468903054;OCCITANIE;AUDE;43.1614428329,3.00768633064
Musée Anne de Beaujeu;5, Place du Colonel Laussedat;03000;MOULINS;0470204847;AUVERGNE-RHÔNE-ALPES;ALLIER;46.56707,3.331218
Musée Rural;Quartier Saint-Joseph Place Félix Folléas;42550;USSON-EN-FOREZ;0477506797;AUVERGNE-RHÔNE-ALPES;LOIRE;45.3920060669,3.94898861156
Musée Folklorique et Traditions Populaires Marius Audin;Place de l'Hôtel de Ville;69430;BEAUJEU;0474692288;AUVERGNE-RHÔNE-ALPES;RHÔNE;46.154534,4.587333
Musée de l'Ardenne;31, Place Ducale;08000;CHARLEVILLE-MEZIERES;0324324464;GRAND EST;ARDENNES;49.773626,4.721108
Musée Henri Dupuis;9, Rue Henri Dupuis;62500;SAINT-OMER;;HAUTS-DE-France;PAS-DE-CALAIS;50.748349,2.251197
Musée d'Art Moderne de la ville de Paris;11, Avenue du Pdt Wilson;75116;PARIS;0153674000;ÎLE-DE-France;PARIS;48.8603821025,2.26201220212
Musée de la Musique;221, Avenue Jean-Jaurès;75019;PARIS;0144844500;ÎLE-DE-France;PARIS;48.889306,2.393807
Ecomusée de la Martinique;Anse Figuier;97211;RIVIERE-PILOTE;0596627914;MARTINIQUE;MARTINIQUE;14.462918,-60.909681
Musée de la Société des Antiquaires;;14000;CAEN;;NORMANDIE;CALVADOS;49.181339,-0.370637
Mémorial de Caen;Esplanade Dwight Eisenhower CS 55026;14050;CAEN Cedex 4;0231060644;NORMANDIE;CALVADOS;
Musée Archéologique;Place du Monument aux Morts;34210;MINERVE;0468912292;OCCITANIE;HERAULT;43.354336,2.746215
Musée d'Art et d'Histoire de Provence;2, Rue Mirabeau;06130;GRASSE;0493368020;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.657615,6.922508
Musée Philippe de Girard;Hötel de ville;84160;LOUMARIN - CADENET;0490680413;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.743816,5.364898
Musée Saint-Nazaire;Rue St Nazaire;71140;BOURBON-LANCY;0385892323;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.624445,3.770054
Musée du site Préhistorique;La Hâle;26420;VASSIEUX-EN-VERCORS;0475482781;AUVERGNE-RHÔNE-ALPES;DRÔME;44.865703,5.357302
Musée Départemental de la Céramique Gallo-Romaine;39, Rue de la République;63190;LEZOUX;0473734242;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;45.826178,3.384421
Les Catacombes;1, avenue du Colonel Henri Rol-Tanguy (Place Denfert-Rochereau);75014;PARIS;0143224763;ÎLE-DE-France;PARIS;48.8291473577,2.32698552913
Institut du Monde Arabe;1, Rue des Fossés Saint-Bernard Place Mohammed V;75236;PARIS Cedex 05;0140513838;ÎLE-DE-France;PARIS;
Musée Communal Robert Tatin;"La Maison des Champs" La Frénouse;53230;COSSE-LE-VIVIEN;0243988089;PAYS DE LA LOIRE;MAYENNE;47.9490046036,-0.924040792242
Musée Estrine;Hôtel Estrine 8, rue Estrine;13210;SAINT-REMY-DE-PROVENCE;0490923472;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.7834120884,4.85311859996
Musée de l'Hôtel Dieu;Porte d'Avignon;84300;CAVAILLON;0490760034;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.860267,5.0086
Musée Victor Aubert;24, rue Quincampoix;78580;MAULE;0130906149;ÎLE-DE-France;YVELINES;48.908957,1.849122
Musée Paul Reclus;Place de la Halle;24250;DOMME;0553317100;NOUVELLE-AQUITAINE;DORDOGNE;44.803032,1.214171
Musée de Sarlat et du Périgord Noir;;24205;SARLAT-LA-CANEDA;0553298298;NOUVELLE-AQUITAINE;DORDOGNE;
Maison Natale de Louis Braille;13, Rue Louis-Braille;77700;COUPVRAY;0160048280;ÎLE-DE-France;SEINE ET MARNE;48.894538,2.791986
Musée de la Cloche et de la Sonnaille;Espace Campanaire André-Malraux Avenue de la Gare;34600;HEREPIAN;0467953995;OCCITANIE;HERAULT;43.5955665999,3.15511892035
Viséum-Musée de la Lunette;Place Jean Jaurès;39400;MOREZ HAUTS DE BIENNE;0384333930;BOURGOGNE-FRANCHE-COMTE;JURA;46.521,6.022578
Musée des Charmettes;Maison de Jean-Jacques Rousseau 890, Chemin des Charmettes;73000;CHAMBERY;0479333944;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.5704322981,5.91500462734
Musée de la Sidérurgie Grande Forge;La Grande Forge;21500;BUFFON;0380921035;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.649672,4.260959
Musée des Beaux-Arts;20, Quai Emile Zola;35100;RENNES;0223621745;BRETAGNE;ILE ET VILAINE;
Musée d'Art et d'Histoire;27, Avenue de l'Abreuvoir;49300;CHOLET;0272772322;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.058385,-0.882284
Musée des arts et traditions populaires;4, Rue de l'Abbaye;82200;MOISSAC;0563046363;OCCITANIE;TARN-ET-GARONNE;44.105697,1.085296
Musée Max Claudet;Place des Salines;39110;SALINS-LES-BAINS;0384730134;BOURGOGNE-FRANCHE-COMTE;JURA;46.937242,5.876684
Musée de la Bière et du Pays de Stenay;17, Rue du Moulin;55700;STENAY;0329806878;GRAND EST;MEUSE;49.487945,5.186967
Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;0389720158;GRAND EST;HAUT-RHIN;48.041411,7.547941
Musée de l'Hôtel Goüin;25, Rue du Commerce B.P. 1105;37011;TOURS Cedex;0247662232;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;
Musée Archéologique Grenoble Saint-Laurent;Place Saint-Laurent;38000;GRENOBLE;0476447868;AUVERGNE-RHÔNE-ALPES;ISERE;45.197768,5.73193
Musée d'Art et d'Histoire;22 bis, rue Gabriel Péri;93200;SAINT-DENIS;0142430510;ÎLE-DE-France;SEINE SAINT-DENIS;48.932336,2.355796
Musée jean-Jacques Rousseau;5, Rue Jean-Jacques Rousseau;95160;MONTMORENCY;0139648013;ÎLE-DE-France;VAL D'OISE;48.986892,2.320916
Maison de Victor Hugo;6, Place des Vosges;75004;PARIS;0142721016;ÎLE-DE-France;PARIS;48.854821,2.366126
Musée Municipal;2, Place Sainte-Anne B.P. 10043;14502;VIRE NORMANDIE Cedex;0231681049;NORMANDIE;CALVADOS;
Musée de la Chemiserie et de l'Elégance Masculine;Rue Charles Brillaud;36200;ARGENTON-SUR-CREUSE;0254243469;CENTRE-VAL DE LOIRE;INDRE;46.58847,1.518517
MuséAL - Musée Archéologique d'Alba;Route départementale 107;07400;ALBA-LA-ROMAINE;0475524515;AUVERGNE-RHÔNE-ALPES;ARDECHE;44.552811,4.606035
Musée de la Grande Chartreuse;La Correrie;38380;SAINT-PIERRE-DE-CHARTREUSE;0476886045;AUVERGNE-RHÔNE-ALPES;ISERE;45.350369,5.791339
Musée d'Art et d'Industrie;2, Place Louis Comte;42026;SAINT-ETIENNE Cedex 1;0477497300;AUVERGNE-RHÔNE-ALPES;LOIRE;
Musée d'Histoire Naturelle Gabriel Foucher;Parc Saint-Paul Les Rives d’Auron Allée René Ménard;18000;BOURGES;0248653734;CENTRE-VAL DE LOIRE;CHER;47.0747448585,2.40489595766
Musée du Compagnonnage;Cloître Saint-Julien 8, Rue Nationale;37000;TOURS;0247216220;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.3979724257,0.696297496341
Musée Municipal d'archéologie;Rue Saint-Pierre;12250;ROQUEFORT-SUR-SOULZON;0565599195;OCCITANIE;AVEYRON;43.975028,2.99165
Musée Municipal Paul Lafran;Montée des Pénitents;13250;SAINT-CHAMAS;0490508561;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.549032,5.033551
Musée de l'Homme et de l'Industrie - Ecomusée de la Communauté Le Creusot-Monceau-Les-Mines;Château de la Verrerie B.P. 53;71202;LE CREUSOT Cedex;0385739200;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;
Musée Municipal de Poligny;Hôtel de Ville 49, Grande Rue;39800;POLIGNY;0384737171;BOURGOGNE-FRANCHE-COMTE;JURA;46.840381623,5.68546108472
Musée Gallé-Juillet;Place François Miterrand;60100;CREIL;0344295150;HAUTS-DE-France;OISE;49.260793,2.473388
Musée de l'Ecole Nationale Supérieure des Beaux-Arts;14, Rue Bonaparte;75006;PARIS;0147035000;ÎLE-DE-France;PARIS;48.856574,2.334551
Musée Municipal de Saint-Cloud;"Jardin des Avelines" 60, Rue Gounod;92210;SAINT-CLOUD;0146026718;ÎLE-DE-France;HAUTS DE SEINE;48.8429394128,2.2083054219
Musée du Père Pinchon;33 Rue du Professeur Raymond Garcin;97200;FORT-DE-France;0596598046;MARTINIQUE;MARTINIQUE;14.616108,-61.078476
Musée du Verre et de la Pierre;Route de Sainte-Marguerite;27190;CONCHES-EN-OUCHE;0232309570;NORMANDIE;EURE;48.955262,0.935948
Musée des Cultures Taurines;6, Rue Alexandre Ducros;30000;NIMES;0466368377;OCCITANIE;GARD;43.8446783278,4.34763990758
Musée Saint-Raymond;1, Place Saint Sernin;31000;TOULOUSE;0561223144;OCCITANIE;HAUTE-GARONNE;43.607972,1.440739
Musée Goupil;Conservatoire de l'Image Industrielle 20 Cours Pasteur;33000;BORDEAUX;0556016940;NOUVELLE-AQUITAINE;GIRONDE;44.8579384389,-0.573595011059
Musée des Traditions de l'Île;Place de l'Eglise;85680;LA GUERINIERE;0251394139;PAYS DE LA LOIRE;VENDEE;46.96396,-2.21192
Musée de Tessé;2, Avenue de Paderborn;72000;LE MANS;0243473851;PAYS DE LA LOIRE;SARTHE;48.009934,0.204194
Musée Bonnard;16 boulevard Sadi Carnot;06110;LE CANNET;0493940606;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.576273,7.019853
Ecomusée du Pays de la Roudoule;Placette de l'Europe;06260;PUGET-ROSTANG;0493051325;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.973638,6.91786
Musée Départemental du Revermont;Cuisiat;01370;TREFFORT-CUISIAT;0474513242;AUVERGNE-RHÔNE-ALPES;AIN;46.271583,5.366157
Musée des Beaux-Arts;40, Place Saint-Corentin;29000;QUIMPER;0298954520;BRETAGNE;FINISTERE;47.996188,-4.101963
Musée Municipal;11, rue de la Société Française;18100;VIERZON;0248711094;CENTRE-VAL DE LOIRE;CHER;47.225192,2.060639
Musée des Beaux-Arts;20, Place des Terreaux;69001;LYON;0472101740;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.767177,4.833576
Muséum d'Histoire Naturelle;3, Rue du Président Merville;37000;TOURS;0247641331;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.394637,0.68388
Albert-Kahn, Musée et Jardin Départementaux;10-14, Rue du Port;92100;BOULOGNE-BILLANCOURT;0155192803;ÎLE-DE-France;HAUTS DE SEINE;48.841354,2.227488
Musée Roybet Fould;Parc de Bécon 178, Boulevard Saint Denis;92400;COURBEVOIE;0171057792;ÎLE-DE-France;HAUTS DE SEINE;48.8983884255,2.25522376319
Maison de Balzac;47, rue Raynouard;75016;PARIS;0155744180;ÎLE-DE-France;PARIS;48.855381,2.280756
Musée Emile Jean;31, rue Louis-Lenoir;94350;VILLIERS-SUR-MARNE;0149410688;ÎLE-DE-France;VAL DE MARNE;48.826701,2.543144
Musée des Beaux-Arts et d'Archéologie;42, Place  Abel Surchamp;33500;LIBOURNE;0557553344;NOUVELLE-AQUITAINE;GIRONDE;44.914487,-0.245068
Muséum d'Histoire Naturelle de Bordeaux;5, Place Bardineau;33000;BORDEAUX;0556482637;NOUVELLE-AQUITAINE;GIRONDE;44.848154,-0.580085
Musée Municipal;Hôtel de Ville Place de la Libération;76360;BARENTIN;0232949020;NORMANDIE;SEINE-MARITIME;49.5442328015,0.945102763311
Musée Agathois;5 rue de la Fraternité;34300;AGDE;0467948251;OCCITANIE;HERAULT;43.311837,3.468587
Musée de Salagon;Prieuré de Salagon;04300;MANE;0492757050;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.935933,5.762811
Musée-Château de Cagnes;7, Place Grimaldi Haut de Cagnes;06800;CAGNES-SUR-MER;0492024730;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.6717115004,7.15221251149
Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie;Jardin des Tuileries;75001;PARIS;0144504300;ÎLE-DE-France;PARIS;48.863983,2.326566
Musée des Travaux Publics;Mairie de Courbevoie;92400;COURBEVOIE;0143347000;ÎLE-DE-France;HAUTS DE SEINE;48.901324,2.256239
Musée d'Art Moderne André Malraux - MuMa;2, boulevard Clemenceau;76600;LE HAVRE;0235196262;NORMANDIE;SEINE-MARITIME;49.484796,0.102188
Musée des Beaux-Arts;1, Place restout;76000;ROUEN;0235712840;NORMANDIE;SEINE-MARITIME;49.445222,1.094076
Musée Départemental d'Art Sacré du Gard;Maison des Chevaliers 2, Rue Saint-Jacques;30130;PONT-SAINT-ESPRIT;0466391761;OCCITANIE;GARD;44.2445980567,4.61246226346
Musée Départemental d'Art Contemporain;Place du Château;87600;ROCHECHOUART;0555037777;NOUVELLE-AQUITAINE;HAUTE VIENNE;45.8218,0.819894
Musée Municipal de Civray;Office du tourisme Place du Général Leclerc;86400;CIVRAY;0549870049;NOUVELLE-AQUITAINE;VIENNE;46.1593309397,0.27690268606
Musée de la Corbillière;Château de la Corbillière;41500;MER;0254817021;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.697721,1.503488
Musée Espace Faïence de Malicorne;24, Rue Victor Hugo B.P. 10;72270;MALICORNE-SUR-SARTHE;0243480717;PAYS DE LA LOIRE;SARTHE;47.7963450353,-0.0561013441942
Musée de la Mode;11 , Rue La Canebière;13001;MARSEILLE;0496170600;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.295914,5.376156
Musée Baroncelli;Rue Victor-Hugo;13460;SAINTES-MARIES-DE-LA-MER;0490978760;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.451198,4.427793
Musée de l'Artillerie;Avenue de la Grande Armée Quartier Bonaparte D. 59 - B.P. 400 Avenue de la Grande Armée - D 59;83007;DRAGUIGNAN Cedex;0483081386;PROVENCE-ALPES-CÔTE D'AZUR;VAR;
Musée Denon;Place de l'hotel de ville;71100;CHALON-SUR-SAONE;0385947441;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.780908,4.853057
Musée des Beaux-Arts;Ancienne Abbaye Saint-Vaast 22, Rue Paul Doumer;62000;ARRAS;0321712643;HAUTS-DE-France;PAS-DE-CALAIS;50.2836206213,2.74077726899
Musée d'Art Sacré;Parvis des Sanctuaires;46500;ROCAMADOUR;0565332330;OCCITANIE;LOT;44.7803374405,1.69650074579
Musée du Château;Place d'Armes;85330;NOIRMOUTIER-EN-L'ILE;0251391042;PAYS DE LA LOIRE;VENDEE;46.999717,-2.243097
Musée des Vins de Touraine;Cellier Saint-Julien 16, Rue Nationale;37000;TOURS;0247610793;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.3979724257,0.696297496341
Musée national de la maison Bonaparte;Rue Saint-Charles;20000;AJACCIO;0495214389;CORSE;CORSE DU SUD;41.91801,8.7386
Musée de Boulogne-sur-Mer;1, Rue de Bernet;62200;BOULOGNE-SUR-MER;0321100220;HAUTS-DE-France;PAS-DE-CALAIS;50.725546,1.616211
Louvre-Lens;Rue Paul Bert B.P. 11;62301;LENS;;HAUTS-DE-France;PAS-DE-CALAIS;
Musée Municipal;Rue du Général Lamarque;40500;SAINT-SEVER;0559056171;NOUVELLE-AQUITAINE;LANDES;43.758576,-0.572238
Musée Salies;Place des Thermes;65200;BAGNERES-DE-BIGORRE;0562910726;OCCITANIE;HAUTES-PYRENEES;43.062205,0.147936
Musée de la Faïence;Rue du Seigneur de la Clue;04360;MOUSTIERS-SAINTE-MARIE;0492746164;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.845611,6.221352
Musée Joseph Denais;5, Place Notre-Dame;49250;BEAUFORT-EN-VALLEE;0241571316;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.44022,-0.217749
Musée de la Haute Auvergne;Palais épiscopal 1, Place d'Armes;15100;SAINT-FLOUR;0471602232;AUVERGNE-RHÔNE-ALPES;CANTAL;45.0331283869,3.1188217924
Musée de la Mine;34, rue du Bois Clair;71450;BLANZY;0385682285;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.701488,4.382962
Ecomusée du Pays de la Cerise;206, Le Petit Fahyr;70220;FOUGEROLLES;0384495250;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;47.907071,6.401161
Musée du Vin de Bourgogne;Hôtel des Ducs Rue d'Enfer;21200;BEAUNE;0380220819;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.0092507244,4.88350689515
Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;0389893394;GRAND EST;HAUT-RHIN;47.591513,7.584985
Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;0389201550;GRAND EST;HAUT-RHIN;48.079732,7.354974
Musée du Mont-de-Piété;1, Rue du Mont-de-Piété;59380;BERGUES;0328681330;HAUTS-DE-France;NORD;50.969087,2.430391
Centre Historique Minier, Musée de la Mine, Centre d'Archives, Centre de Culture Scientifique de l'Energie;Fosse Delloye B.P. 30039;59287;LEWARDE;0327958282;HAUTS-DE-France;NORD;50.3426420903,3.15765827403
Musée de Provins et du Provinois;7, rue du Palais;77160;PROVINS;0164005960;ÎLE-DE-France;SEINE ET MARNE;48.561624,3.290374
Musée de Cerdagne;Ferme Cal Mateu;66800;SAINTE-LEOCADIE;0468040805;OCCITANIE;PYRENEES ORIENTALES;42.439471,2.002067
Musée du Castillet Casa Pairal;Place de Verdun B.P. 20931;66931;PERPIGNAN Cedex;0468515046;OCCITANIE;PYRENEES ORIENTALES;
Musée Languedocien;Hôtel des Trésoriers de France 7, Rue Jacques-Cœur;34000;MONTPELLIER;0467529303;OCCITANIE;HERAULT;43.613085594,3.86919806969
Musée-Bibliothèque François Pétrarque;Rive gauche de la Sorgue;84800;FONTAINE-DE-VAUCLUSE;0490203720;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.91753,5.056542
Cité de Préhistoire;Orgnac Grand Site de France;07150;ORGNAC-L'AVEN;0475386510;AUVERGNE-RHÔNE-ALPES;ARDECHE;44.303919,4.433679
Musée Départemental Breton;Palais des Evêques 1, Rue du Roi Gradlon;29000;QUIMPER;0298952160;BRETAGNE;FINISTERE;47.9969497735,-4.09093803063
Musée Bigouden;Château des Barons du Pont Square de l'Europe;29120;PONT-L'ABBE;0298660040;BRETAGNE;FINISTERE;47.8679473907,-4.24180509959
Musée Emile Chénon;10-12, Rue de la Victoire;18370;CHATEAUMEILLANT;0248614924;CENTRE-VAL DE LOIRE;CHER;46.561497,2.196419
Musée de l'Hospice Saint-Roch;23, Rue de l'Hospice Saint-Roch B.P. 150;36100;ISSOUDUN Cedex;0254210176;CENTRE-VAL DE LOIRE;INDRE;46.9136389585,1.94621572465
Musée des Beaux-Arts;4, Place des Ormeaux;26000;VALENCE;0475792080;AUVERGNE-RHÔNE-ALPES;DRÔME;44.931125,4.889563
Musée Charles Friry;12, Rue du Général Humbert;88200;REMIREMONT;0329625913;GRAND EST;VOSGES;48.015174,6.590031
Musée - Centre de Documentation Alfred Desmasures;Impasse du Château;02500;HIRSON;0323987742;HAUTS-DE-France;AISNE;49.925734,4.079378
Musée de l'Assistance Publique - Hôpitaux de Paris;10, Rue des Fossés Saint-Marcel;75005;PARIS;0140275005;ÎLE-DE-France;PARIS;48.838806,2.356007
Musée de la Chasse et de la Nature;60, rue des Archives;75003;PARIS;0153019240;ÎLE-DE-France;PARIS;48.861337,2.358433
Musée Suffren et du Vieux Saint-Cannat;Espace Suffren 3 Avenue Pasteur;13760;SAINT-CANNAT;0442508200;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.6136500201,5.30707823764
Musée Alphonse Daudet;Avenue des Moulins;13390;FONTVIEILLE;0490546078;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.379793,5.678784
Musée d'Art Naïf Anatole Jakovsky;Château Sainte-Hélène 23, Avenue de Fabron;06200;NICE;0493717833;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.7122279855,7.23752896461
Musée des Arts et Traditions Populaires de Haute Loire;;43100;LAVAUDIEU;0471760890;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.262726,3.453911
Musée-Historial de la Grande Guerre;Château de Péronne B.P. 20063;80201;PERONNE Cédex;0322831418;HAUTS-DE-France;SOMME;
Musée Municipal;19, Rue Pierre Mendes France B.P. 621;27400;LOUVIERS Cedex;0232095854;NORMANDIE;EURE;49.185538027,1.1391389969
Musée-Forum de l'Aurignacien;Avenue de Benabarre;31420;AURIGNAC;0561909072;OCCITANIE;HAUTE-GARONNE;43.215702,0.879532
Musée Georges Labit;17, rue du Japon;31400;TOULOUSE;0561534825;OCCITANIE;HAUTE-GARONNE;43.589735,1.458081
Musée Massey;Rue Achille Jubinal Jardin Massey;65000;TARBES;0562361283;OCCITANIE;HAUTES-PYRENEES;43.2347029707,0.0655253081546
Musée des Beaux-Arts de Nancy;3, Place Stanislas B.P. 218;54004;NANCY;0383853072;GRAND EST;MEURTHE ET MOSELLE;
Musée de la Reine Bérengère;7/9, Rue de la Reine Bérengère;72000;LE MANS;0243473880;PAYS DE LA LOIRE;SARTHE;48.008953,0.1977
Musée d'Histoire Naturelle Victor Brun;2, Place Antoine Bourdelle;82000;MONTAUBAN;0563221385;OCCITANIE;TARN-ET-GARONNE;44.017099,1.351385
Musée des Marais Salant;Place Adèle Pichon;44740;BATZ-SUR-MER;0240238279;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.2846734504,-2.47393710058
Musée du Vieil Auvillar;Mairie Place de la Halle;82340;AUVILLAR;0563395733;OCCITANIE;TARN-ET-GARONNE;44.0665024612,0.846217290155
Musée Départemental des Hautes-Alpes;6, Avenue Maréchal Foch;05000;GAP;0492510158;PROVENCE-ALPES-CÔTE D'AZUR;HAUTES-ALPES;44.562625,6.085573
Musée des Beaux-Arts et d'Archéologie;1, Place de la Révolution;25000;BESANCON;0381878067;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.240055,6.022938
Musée Historique;4, Rue des Archives;68100;MULHOUSE;0389337810;GRAND EST;HAUT-RHIN;47.746535,7.339544
Musée de la Civilisation Gallo-Romaine;17, Rue Cléberg;69005;LYON;0472384930;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.760529,4.82004
Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;0389758880;GRAND EST;HAUT-RHIN;47.809504,7.174289
Muséum d'Histoire Naturelle;4, Rue Chrestiens de Troyes;10000;TROYES;0325762168;GRAND EST;AUBE;48.300722,4.07987
Musée de Paléontologie;Place de l'église;43380;CHILHAC;0471774726;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.148133,3.402325
Musée de la Nacre et de la Tabletterie;51, rue Roger Salengro;60110;MERU;0344226174;HAUTS-DE-France;OISE;49.238287,2.137907
Musée de la Meunerie - Moulin de Marcy;Moulin de Marcy;14330;LE MOLAY-LITTRY;0231214213;NORMANDIE;CALVADOS;49.227605,-0.904606
Musée Fenaille;14, Place Eugène Raynaldy;12000;RODEZ;0565738430;OCCITANIE;AVEYRON;44.349201,2.576408
Musée des Arts et Métiers Traditionnels;;12330;SALLES-LA-SOURCE;0565672896;OCCITANIE;AVEYRON;44.43517,2.512522
Musée Henri Martin;792, Rue Emile Zola;46000;CAHORS;0565208866;OCCITANIE;LOT;44.448506,1.438286
Musée du Pays Vaurais;1, rue Jouxaygues;81500;LAVAUR;0563580342;OCCITANIE;TARN;43.698318,1.820763
Musée Clemenceau et de Lattre-de-Tassigny;1, rue Plante-Choux;85390;MOUILLERON-EN-PAREDS;0251003149;PAYS DE LA LOIRE;VENDEE;46.675283,-0.849535
Musée Archéologique;Place de l'Eglise;01580;IZERNORE;0474492042;AUVERGNE-RHÔNE-ALPES;AIN;46.219972,5.555612
Muséum des Sciences Naturelles et de Préhistoire;5 bis, Bd de la Courtille;28000;CHARTRES;0237884386;CENTRE-VAL DE LOIRE;EURE ET LOIR;48.441822,1.490983
Musée des Vallées de Thônes;2, Rue Blanche;74230;THONES;0450029776;AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;45.881618,6.324161
Musée Municipal Théâtre Forain et Archéologique;Quartier du Paradis;45410;ARTENAY;0238800973;CENTRE-VAL DE LOIRE;LOIRET;48.08201,1.879598
Palais des ducs de Lorraine - Musée Historique Lorrain;Palais Ducal 64, Grande Rue;54000;NANCY;0383321874;GRAND EST;MEURTHE ET MOSELLE;48.6902043213,6.1760319489
MUba Eugène Leroy Tourcoing/Musée des Beaux-Arts Eugène Leroy;2, Rue Paul Doumer;59200;TOURCOING;0320289160;HAUTS-DE-France;NORD;50.723348,3.161776
Musée Municipal;12, Rue Albert Dhalenne;93400;SAINT-OUEN;0149489520;ÎLE-DE-France;SEINE SAINT-DENIS;48.916536,2.330208
Musée Ernest Cognacq;Hôtel de Clerjotte 13, avenue Victor Bouthillier;17410;SAINT-MARTIN-DE-RE;0546092122;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;46.1993348422,-1.36709040482
Musée archéologique;Mairie de Vachères;04110;VACHERES;0492756215;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.931511,5.637976
Musée Vert Véron-de-Forbonnais;204, Avenue Jean-jaurès;72100;LE MANS;0243473994;PAYS DE LA LOIRE;SARTHE;47.986868,0.208417
Musée du Brou;Monastère Royal de Brou 63, Boulevard de Brou;01000;BOURG-EN-BRESSE;0474228383;AUVERGNE-RHÔNE-ALPES;AIN;46.2069478835,5.22442559307
Musée Archéologique d'Argentomagus;"Les Mersans" B.P. 6;36200;SAINT-MARCEL;0254244731;CENTRE-VAL DE LOIRE;INDRE;46.5948088664,1.57301511
Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;0388803449;GRAND EST;BAS-RHIN;48.93247,7.665596
Musée du Vieil Argenteuil;5, rue Pierre-Guienne;95100;ARGENTEUIL;0134233745;ÎLE-DE-France;VAL D'OISE;48.94388,2.256737
